Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,CF_attrition count,CF_attrition rate,CF_current Employee,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,21,Male,Research Scientist,Divorced,Yes,5,32,0,0,1,334,5,Associates Degree,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,2,6,2,0,5
No,Non-Travel,Under 25,Current Employees,R&D,Medical,22,Male,Laboratory Technician,Divorced,Yes,2,22,0,0,1,1123,16,Associates Degree,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,Sales,Life Sciences,23,Female,Manager,Married,No,3,53,0,0,1,1219,2,Master's Degree,1,78,2,4,2,15427,22021,2,16,3,3,80,0,31,3,25,8,3,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,24,Male,Research Scientist,Single,Yes,3,38,0,0,1,371,2,Bachelor's Degree,4,45,3,1,2,3944,4306,5,11,3,3,80,0,6,3,3,2,1,2
No,Non-Travel,Under 25,Current Employees,R&D,Other,26,Female,Manufacturing Director,Divorced,No,5,24,0,0,1,673,11,Associates Degree,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,2,4,2,1,3
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Life Sciences,27,Male,Sales Representative,Single,No,4,36,1,1,0,1218,9,Master's Degree,3,82,2,1,2,3407,6986,7,23,4,2,80,0,10,3,5,3,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,28,Female,Research Director,Single,No,4,34,0,0,1,419,7,Master's Degree,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,3,12,6,2,11
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,30,Male,Research Scientist,Single,No,6,21,0,0,1,391,15,Associates Degree,3,96,3,1,2,1232,19281,1,14,3,4,80,0,0,3,0,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,31,Male,Research Scientist,Single,No,2,34,1,1,0,699,6,High School,2,83,3,1,4,2960,17102,2,11,3,3,80,0,8,3,4,2,1,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,32,Female,Manager,Divorced,No,3,53,0,0,1,1282,5,Bachelor's Degree,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,2,14,13,4,8
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,33,Female,Research Scientist,Single,Yes,5,32,1,1,0,1125,16,High School,2,72,1,1,2,3919,4681,1,22,4,2,80,0,10,3,10,2,6,7
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,35,Male,Sales Executive,Married,No,2,42,0,0,1,691,8,Master's Degree,3,48,3,2,3,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,36,Female,Healthcare Representative,Married,No,4,44,0,0,1,477,7,Master's Degree,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,38,Female,Manager,Single,No,2,46,0,0,1,705,2,Master's Degree,2,83,3,5,4,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,39,Male,Laboratory Technician,Single,No,3,33,0,0,1,924,2,Bachelor's Degree,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,40,Male,Healthcare Representative,Married,Yes,5,44,0,0,1,1459,10,Master's Degree,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,41,Male,Laboratory Technician,Single,No,5,30,0,0,1,125,9,Associates Degree,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
Yes,Travel_Rarely,35 - 44,Ex-Employees,Sales,Technical Degree,42,Male,Sales Representative,Married,No,6,39,1,1,0,895,5,Bachelor's Degree,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Medical,45,Male,Research Scientist,Married,Yes,2,24,1,1,0,813,1,Bachelor's Degree,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,46,Female,Research Scientist,Divorced,No,3,43,0,0,1,1273,2,Associates Degree,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Marketing,47,Male,Sales Representative,Married,Yes,2,50,1,1,0,869,3,Associates Degree,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,49,Female,Sales Representative,Married,No,3,35,0,0,1,890,2,Bachelor's Degree,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,51,Female,Research Scientist,Married,Yes,3,36,0,0,1,852,5,Master's Degree,2,82,2,1,2,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,52,Female,Sales Executive,Married,No,3,33,0,0,1,1141,1,Bachelor's Degree,3,42,4,2,2,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,53,Male,Laboratory Technician,Divorced,No,3,35,0,0,1,464,4,Associates Degree,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,54,Female,Laboratory Technician,Divorced,No,6,27,0,0,1,1240,2,Master's Degree,4,33,3,1,2,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Life Sciences,55,Male,Laboratory Technician,Single,No,2,26,1,1,0,1357,25,Bachelor's Degree,1,48,1,1,2,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1
No,Travel_Frequently,25 - 34,Current Employees,Sales,Life Sciences,56,Male,Sales Executive,Single,No,0,27,0,0,1,994,8,Bachelor's Degree,4,37,3,3,2,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7
No,Travel_Frequently,25 - 34,Current Employees,R&D,Medical,57,Female,Laboratory Technician,Single,No,2,30,0,0,1,721,1,Associates Degree,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Technical Degree,58,Female,Research Director,Married,No,0,41,1,1,0,1360,12,Bachelor's Degree,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,60,Male,Sales Executive,Single,No,2,34,0,0,1,1065,23,Master's Degree,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,61,Male,Research Scientist,Married,No,1,37,0,0,1,408,19,Associates Degree,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
No,Travel_Frequently,45 - 54,Current Employees,Sales,Marketing,62,Male,Sales Executive,Single,Yes,4,46,0,0,1,1211,5,Master's Degree,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,63,Male,Laboratory Technician,Married,No,2,35,0,0,1,1229,8,High School,4,36,4,1,2,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1
Yes,Travel_Rarely,45 - 54,Ex-Employees,R&D,Life Sciences,64,Male,Laboratory Technician,Single,Yes,2,48,1,1,0,626,1,Associates Degree,1,98,2,3,2,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,65,Male,Laboratory Technician,Single,Yes,3,28,1,1,0,1434,5,Master's Degree,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,68,Female,Sales Executive,Divorced,Yes,2,44,0,0,1,1488,1,Doctoral Degree,2,75,3,2,4,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,70,Male,Healthcare Representative,Married,Yes,3,35,0,0,1,1097,11,Associates Degree,3,79,2,3,4,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,72,Female,Sales Executive,Married,Yes,2,26,0,0,1,1443,23,Bachelor's Degree,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,73,Female,Research Director,Single,Yes,1,33,0,0,1,515,1,Associates Degree,1,98,3,3,2,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12
No,Travel_Frequently,35 - 44,Current Employees,Sales,Life Sciences,74,Male,Sales Executive,Married,No,3,35,0,0,1,853,18,Doctoral Degree,2,71,3,3,2,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,75,Female,Laboratory Technician,Married,Yes,3,35,0,0,1,1142,23,Master's Degree,3,30,3,1,4,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,76,Male,Laboratory Technician,Divorced,No,3,31,0,0,1,655,7,Master's Degree,4,48,3,2,2,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,77,Male,Manufacturing Director,Divorced,No,2,37,0,0,1,1115,1,Master's Degree,1,51,2,2,2,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,78,Male,Manufacturing Director,Married,Yes,3,32,0,0,1,427,1,Bachelor's Degree,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,79,Female,Laboratory Technician,Single,No,2,38,0,0,1,653,29,Doctoral Degree,4,50,3,2,2,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,80,Female,Research Director,Divorced,Yes,2,50,0,0,1,989,7,Associates Degree,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,81,Female,Sales Executive,Single,No,3,59,0,0,1,1435,25,Bachelor's Degree,1,99,3,3,2,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,83,Female,Healthcare Representative,Divorced,No,2,36,0,0,1,1223,8,Bachelor's Degree,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8
No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,84,Female,Manager,Divorced,Yes,2,55,0,0,1,836,8,Bachelor's Degree,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,85,Male,Manufacturing Director,Single,No,3,36,0,0,1,1195,11,Bachelor's Degree,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,86,Male,Research Scientist,Divorced,No,2,45,0,0,1,1339,7,Bachelor's Degree,2,59,3,3,2,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,88,Male,Research Scientist,Married,No,2,35,0,0,1,664,1,Bachelor's Degree,2,79,3,1,4,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2
Yes,Travel_Rarely,35 - 44,Ex-Employees,R&D,Medical,90,Male,Research Scientist,Married,Yes,0,36,1,1,0,318,9,Bachelor's Degree,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,91,Female,Sales Executive,Single,No,2,59,0,0,1,1225,1,High School,1,57,2,2,2,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,94,Male,Research Scientist,Married,No,3,29,0,0,1,1328,2,Bachelor's Degree,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,95,Male,Research Scientist,Single,No,4,31,0,0,1,1082,1,Master's Degree,3,87,3,1,3,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,96,Male,Research Scientist,Married,No,3,32,0,0,1,548,1,Bachelor's Degree,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,97,Female,Laboratory Technician,Married,No,3,36,0,0,1,132,6,Bachelor's Degree,2,55,4,1,2,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,98,Female,Manufacturing Director,Single,No,2,31,0,0,1,746,8,Master's Degree,3,61,3,2,2,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,100,Male,Sales Executive,Single,No,2,35,0,0,1,776,1,Master's Degree,3,32,2,2,4,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8
No,Travel_Rarely,45 - 54,Current Employees,R&D,Other,101,Male,Research Director,Married,Yes,3,45,0,0,1,193,6,Master's Degree,4,52,3,3,4,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,102,Male,Research Director,Single,No,3,37,0,0,1,397,7,Master's Degree,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,HR,Medical,103,Male,Human Resources,Divorced,Yes,2,46,0,0,1,945,5,Associates Degree,2,80,3,2,3,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,104,Male,Laboratory Technician,Married,Yes,1,30,0,0,1,852,1,High School,4,55,2,2,2,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,105,Male,Research Scientist,Single,No,3,35,0,0,1,1214,1,Bachelor's Degree,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,106,Male,Sales Executive,Married,No,4,55,0,0,1,111,1,Associates Degree,1,70,3,3,2,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,107,Female,Research Scientist,Divorced,Yes,3,38,0,0,1,573,6,Bachelor's Degree,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,110,Male,Manufacturing Director,Married,No,2,34,0,0,1,1153,1,Associates Degree,1,94,3,2,3,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,112,Male,Manufacturing Director,Single,No,3,56,0,0,1,1400,7,Bachelor's Degree,4,49,1,3,2,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2
No,Travel_Rarely,Under 25,Current Employees,Sales,Technical Degree,113,Male,Sales Representative,Divorced,No,3,23,0,0,1,541,2,High School,3,62,3,1,4,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,116,Male,Laboratory Technician,Married,No,4,51,0,0,1,432,9,Master's Degree,4,96,3,1,2,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,117,Male,Healthcare Representative,Married,No,3,30,0,0,1,288,2,Bachelor's Degree,3,99,2,2,2,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8
Yes,Travel_Rarely,45 - 54,Ex-Employees,Sales,Medical,118,Male,Sales Executive,Single,No,3,46,1,1,0,669,9,Associates Degree,3,64,2,3,4,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,119,Male,Healthcare Representative,Married,No,3,40,0,0,1,530,1,Master's Degree,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,120,Male,Sales Executive,Single,Yes,2,51,0,0,1,632,21,Master's Degree,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,1,10,7,1,0
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,121,Female,Sales Executive,Divorced,Yes,4,30,0,0,1,1334,4,Associates Degree,3,63,2,2,3,5209,19760,1,12,3,2,80,3,11,2,11,8,2,7
No,Travel_Frequently,45 - 54,Current Employees,R&D,Medical,124,Male,Healthcare Representative,Married,Yes,5,46,0,0,1,638,1,Bachelor's Degree,3,40,2,3,4,10673,3142,2,13,3,3,80,1,21,2,10,9,9,5
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,125,Male,Sales Executive,Single,No,0,32,0,0,1,1093,6,Master's Degree,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,3,11,8,5,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,126,Female,Research Director,Married,No,5,54,0,0,1,1217,2,Master's Degree,1,60,3,3,3,13549,24001,9,12,3,1,80,1,16,1,4,3,0,3
No,Travel_Rarely,Under 25,Current Employees,Sales,Other,128,Female,Sales Executive,Married,No,2,24,0,0,1,1353,3,Associates Degree,1,33,3,2,3,4999,17519,0,21,4,1,80,1,4,2,3,2,0,2
No,Non-Travel,25 - 34,Current Employees,Sales,Medical,129,Male,Sales Executive,Married,No,3,28,0,0,1,120,4,Bachelor's Degree,2,43,3,2,3,4221,8863,1,15,3,2,80,0,5,4,5,4,0,4
No,Travel_Rarely,Over 55,Current Employees,Sales,Medical,131,Male,Sales Executive,Single,No,1,58,0,0,1,682,10,Master's Degree,4,37,3,4,3,13872,24409,0,13,3,3,80,0,38,2,37,10,1,8
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,132,Male,Laboratory Technician,Married,No,3,44,0,0,1,489,23,Bachelor's Degree,2,67,3,2,3,2042,25043,4,12,3,3,80,1,17,4,3,2,1,2
Yes,Travel_Rarely,35 - 44,Ex-Employees,HR,Human Resources,133,Male,Human Resources,Divorced,Yes,3,37,1,1,0,807,6,Master's Degree,3,63,3,1,4,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,134,Male,Research Scientist,Single,No,2,32,0,0,1,827,1,High School,4,71,3,1,2,2956,15178,1,13,3,4,80,0,1,3,1,0,0,0
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Life Sciences,137,Female,Laboratory Technician,Single,Yes,5,20,1,1,0,871,6,Bachelor's Degree,4,66,2,1,2,2926,19783,1,18,3,2,80,0,1,3,1,0,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,138,Female,Research Scientist,Single,No,3,34,0,0,1,665,6,Master's Degree,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,16,13,2,10
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,139,Male,Healthcare Representative,Divorced,No,2,37,0,0,1,1040,2,Associates Degree,3,100,2,2,2,5163,15850,5,14,3,4,80,1,17,4,1,0,0,0
No,Non-Travel,Over 55,Current Employees,HR,Human Resources,140,Female,Manager,Married,No,3,59,0,0,1,1420,2,Master's Degree,3,32,2,5,4,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
No,Travel_Frequently,45 - 54,Current Employees,R&D,Life Sciences,141,Female,Research Director,Married,Yes,1,50,0,0,1,1115,1,Bachelor's Degree,1,73,3,5,2,18172,9755,3,19,3,1,80,0,28,2,8,3,0,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Marketing,142,Male,Sales Executive,Single,Yes,1,25,1,1,0,240,5,Bachelor's Degree,3,46,2,2,3,5744,26959,1,11,3,4,80,0,6,3,6,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,143,Male,Research Scientist,Married,No,2,25,0,0,1,1280,7,High School,4,64,2,1,4,2889,26897,1,11,3,3,80,2,2,3,2,2,2,1
No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,144,Female,Laboratory Technician,Single,No,5,22,0,0,1,534,15,Bachelor's Degree,2,59,3,1,4,2871,23785,1,15,3,3,80,0,1,3,0,0,0,0
No,Travel_Frequently,45 - 54,Current Employees,R&D,Medical,145,Female,Healthcare Representative,Single,No,1,51,0,0,1,1456,1,Master's Degree,1,30,2,3,4,7484,25796,3,20,4,3,80,0,23,2,13,12,12,8
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,147,Male,Laboratory Technician,Single,Yes,3,34,1,1,0,658,7,Bachelor's Degree,1,66,1,2,2,6074,22887,1,24,4,4,80,0,9,3,9,7,0,6
No,Non-Travel,45 - 54,Current Employees,HR,Human Resources,148,Female,Manager,Single,Yes,3,54,0,0,1,142,26,Bachelor's Degree,4,30,4,4,4,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,150,Male,Laboratory Technician,Married,No,2,24,0,0,1,1127,18,High School,2,52,3,1,2,2774,13257,0,12,3,3,80,1,6,3,5,3,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,151,Female,Research Scientist,Divorced,No,3,34,0,0,1,1031,6,Master's Degree,3,45,2,2,2,4505,15000,6,15,3,3,80,1,12,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,152,Male,Sales Executive,Single,No,3,37,0,0,1,1189,3,Bachelor's Degree,3,87,3,3,2,7428,14506,2,12,3,1,80,0,12,3,5,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,153,Female,Manager,Single,No,6,34,0,0,1,1354,5,Bachelor's Degree,3,45,2,3,4,11631,5615,2,12,3,4,80,0,14,3,11,10,5,8
No,Travel_Frequently,35 - 44,Current Employees,Sales,Technical Degree,154,Female,Sales Executive,Married,No,6,36,0,0,1,1467,11,Associates Degree,2,92,3,3,4,9738,22952,0,14,3,3,80,1,10,3,9,7,2,8
